run_id,objective,label_fraction,selected_threshold,default_accuracy,default_sensitivity,default_specificity,auroc,auprc,selected_accuracy,selected_accuracy_ci_low,selected_accuracy_ci_high,selected_accuracy_n,selected_sensitivity,selected_sensitivity_ci_low,selected_sensitivity_ci_high,selected_sensitivity_n,selected_specificity,selected_specificity_ci_low,selected_specificity_ci_high,selected_specificity_n
resnet18_supervised_phash_10pct_e1,balanced_accuracy,0.1,0.45796558260917664,0.9427312775330396,0.8980963045912654,1.0,0.9929914661929954,0.9956003950814118,0.9653870358716173,0.9552175448317416,0.9733116949872084,1589,0.9473684210526315,0.9307126334501776,0.9601916243362585,893,0.9885057471264368,0.9774839513864501,0.9941644902037613,696
resnet18_supervised_phash_10pct_e10,balanced_accuracy,0.1,0.7567132711410522,0.9855254877281309,0.9988801791713325,0.9683908045977011,0.9988737434194437,0.9994484161515635,0.9911894273127754,0.9852650111396637,0.9947445516442317,1589,0.9932810750279956,0.985419067079698,0.9969171671003402,893,0.9885057471264368,0.9774839513864501,0.9941644902037613,696
resnet18_supervised_phash_10pct_e5,balanced_accuracy,0.1,0.17829658091068268,0.9647577092511013,0.9372900335946248,1.0,0.9982076430989432,0.9988312373011817,0.9817495280050346,0.9739121000068909,0.9872631982776341,1589,0.9832026875699889,0.972471125937913,0.9897946743996272,893,0.9798850574712644,0.9665208093089491,0.9879808950767291,696
resnet18_supervised_phash_10pct_seed123_e1,balanced_accuracy,0.1,0.443881094455719,0.920704845814978,0.858902575587906,1.0,0.9740446126320939,0.9833156526497694,0.920704845814978,0.9063819956973184,0.9329983921579462,1589,0.896976483762598,0.8753079157208516,0.9152441728530949,893,0.9511494252873564,0.932511703224666,0.964834210479235,696
resnet18_supervised_phash_10pct_seed7_e1,balanced_accuracy,0.1,0.5160716772079468,0.9175582127123977,0.8712206047032475,0.9770114942528736,0.9626887284241418,0.9767865896373289,0.9238514789175583,0.9097634719076421,0.9358950041140793,1589,0.8689809630459127,0.8452603216395886,0.8895405618163081,893,0.9942528735632183,0.9853167113383577,0.9977628883882089,696
resnet18_supervised_phash_25pct_e1,balanced_accuracy,0.05,0.2481936663389206,0.9320327249842668,0.8790593505039194,1.0,0.9937283597842735,0.9957670157480646,0.9546884833228445,0.943318958476164,0.9638647815768332,1589,0.93505039193729,0.9169506935173167,0.9494230340171775,893,0.9798850574712644,0.9665208093089491,0.9879808950767291,696
resnet18_supervised_phash_25pct_seed123_e1,balanced_accuracy,0.05,0.16819089651107788,0.933291378225299,0.8812989921612542,1.0,0.9962125600133863,0.9974274695249905,0.9786028949024543,0.9702490556334317,0.9846481544846365,1589,0.9798432250839866,0.9683631064508401,0.987212549272534,893,0.9770114942528736,0.9629849624237918,0.9858011628937087,696
resnet18_supervised_phash_25pct_seed7_e1,balanced_accuracy,0.05,0.356366366147995,0.9427312775330396,0.8980963045912654,1.0,0.9876079597379362,0.9918038379519636,0.9295154185022027,0.9158666205344096,0.9410924141869338,1589,0.9462486002239642,0.9294535299064488,0.9592206796752654,893,0.9080459770114943,0.88428030687871,0.9273319208025252,696
resnet18_supervised_phash_50pct_e1,balanced_accuracy,0.5,0.32423946261405945,0.9842668344870988,0.9720044792833147,1.0,0.9991536986266104,0.9995068267121342,0.9899307740717432,0.9837056991660745,0.993792628351238,1589,0.9820828667413214,0.9710939357909959,0.9889418163418221,893,1.0,0.994510757862922,0.9999999999999998,696
resnet18_supervised_phash_50pct_e10,balanced_accuracy,0.5,0.3283214271068573,0.9905601006922593,0.9966405375139977,0.9827586206896551,0.9990796874798883,0.9994285297662308,0.9905601006922593,0.984482901523388,0.994271043627216,1589,0.9966405375139977,0.9901695220913033,0.9988568567029005,893,0.9827586206896551,0.9701070051673665,0.9901102782864893,696
resnet18_supervised_phash_50pct_e25,balanced_accuracy,0.5,0.43436399102211,0.9943360604153556,0.9966405375139977,0.9913793103448276,0.999070033852055,0.9994530602076279,0.9905601006922593,0.984482901523388,0.994271043627216,1589,0.9966405375139977,0.9901695220913033,0.9988568567029005,893,0.9827586206896551,0.9701070051673665,0.9901102782864893,696
resnet18_supervised_phash_50pct_e5,balanced_accuracy,0.5,0.25167250633239746,0.9949653870358716,0.9910414333706606,1.0,0.999481921972944,0.9996483219465855,0.9981120201384519,0.9944636318094541,0.9993577249406461,1589,0.9966405375139977,0.9901695220913033,0.9988568567029005,893,1.0,0.994510757862922,0.9999999999999998,696
resnet18_supervised_phash_5pct_e1,balanced_accuracy,0.05,0.4348977208137512,0.8105726872246696,0.6629339305711086,1.0,0.9733559871799822,0.9821342529579119,0.9062303335431089,0.8909011520820577,0.9196000302075059,1589,0.9406494960806271,0.923183129234526,0.9543408393235783,893,0.8620689655172413,0.83445621502254,0.8857067475678518,696
simclr_resnet18_phash_e25_finetune_05pct_e1,balanced_accuracy,0.05,0.3388940989971161,0.5594713656387665,0.21612541993281076,1.0,0.9367301231802913,0.9543229228165659,0.815607300188798,0.7957858632970677,0.8339063797985421,1589,0.7413213885778276,0.7116086934561255,0.7689666946614641,893,0.9109195402298851,0.8874386077952251,0.9298891989541879,696
simclr_resnet18_phash_e25_finetune_10pct_e1,balanced_accuracy,0.1,0.4211175739765167,0.9307740717432348,0.8768197088465846,1.0,0.9711099097707586,0.983666489455364,0.9534298300818125,0.9419303524253055,0.962742152361109,1589,0.9171332586786114,0.8972153959876936,0.9334775602712488,893,1.0,0.994510757862922,0.9999999999999998,696
simclr_resnet18_phash_e25_finetune_10pct_e10,balanced_accuracy,0.1,0.19470001757144928,0.973568281938326,0.9529675251959686,1.0,0.9974804031354985,0.9985376133176171,0.9666456891126495,0.9566305184610614,0.9744099566244714,1589,0.9921612541993281,0.9839083207695879,0.9961978652057281,893,0.9339080459770115,0.9129657772388154,0.9500866620560192,696
simclr_resnet18_phash_e25_finetune_10pct_e5,balanced_accuracy,0.1,0.3492838442325592,0.9307740717432348,0.8768197088465846,1.0,0.989335959120104,0.99308726690571,0.9559471365638766,0.9447096848320168,0.964985290487563,1589,0.93505039193729,0.9169506935173167,0.9494230340171775,893,0.9827586206896551,0.9701070051673665,0.9901102782864893,696
simclr_resnet18_phash_e25_finetune_10pct_seed123_e1,balanced_accuracy,0.1,0.5523571372032166,0.960352422907489,0.9384098544232923,0.9885057471264368,0.9855646085132126,0.9915272045951928,0.9446192573945877,0.9322633300846827,0.9548305278356529,1589,0.9014557670772676,0.8801536910287521,0.9193185903640823,893,1.0,0.994510757862922,0.9999999999999998,696
simclr_resnet18_phash_e25_finetune_10pct_seed7_e1,balanced_accuracy,0.1,0.4548782408237457,0.9188168659534298,0.8756998880179171,0.9741379310344828,0.9784788456835412,0.9857667772774703,0.9194461925739459,0.9050311305367184,0.9318380220519634,1589,0.9417693169092946,0.9244340121135765,0.9553200046492499,893,0.8908045977011494,0.8654526911257677,0.9118660621464011,696
simclr_resnet18_phash_e25_finetune_25pct_e1,balanced_accuracy,0.05,0.15421989560127258,0.9137822529893015,0.8465845464725644,1.0,0.987817121674325,0.9925152225586833,0.9572057898049088,0.946102617429812,0.9661035931563505,1589,0.9395296752519597,0.9219337613191253,0.953360159034257,893,0.9798850574712644,0.9665208093089491,0.9879808950767291,696
simclr_resnet18_phash_e25_finetune_25pct_seed123_e1,balanced_accuracy,0.05,0.18364928662776947,0.9238514789175583,0.864501679731243,1.0,0.986137390431324,0.9911425188277265,0.9389553178099433,0.9260915519886302,0.9497017472320833,1589,0.9204927211646137,0.900894523067486,0.9364885778056223,893,0.9626436781609196,0.9458266128161056,0.9743816171605063,696
simclr_resnet18_phash_e25_finetune_25pct_seed7_e1,balanced_accuracy,0.05,0.23272940516471863,0.9257394587791064,0.8678611422172452,1.0,0.9838623521386003,0.989748781819284,0.9395846444304594,0.9267758374650072,0.9502730793889977,1589,0.9395296752519597,0.9219337613191253,0.953360159034257,893,0.9396551724137931,0.9194349832367832,0.955048614194407,696
simclr_resnet18_phash_e25_finetune_50pct_e1,balanced_accuracy,0.5,0.4667515754699707,0.948395217117684,0.9081746920492721,1.0,0.9892909088568818,0.9932616015063769,0.9597230962869729,0.9488954769025827,0.9683332042167453,1589,0.9283314669652856,0.9095156936973245,0.9434777446088378,893,1.0,0.994510757862922,0.9999999999999998,696
simclr_resnet18_phash_e25_finetune_50pct_e10,balanced_accuracy,0.5,0.8938306570053101,0.9704216488357458,0.9966405375139977,0.9367816091954023,0.9990829053558327,0.9993938917470722,0.9924480805538074,0.9868460263781877,0.99567477167229,1589,0.9955207166853304,0.9885395455270579,0.9982567850624241,893,0.9885057471264368,0.9774839513864501,0.9941644902037613,696
simclr_resnet18_phash_e25_finetune_50pct_e25,balanced_accuracy,0.5,0.13010834157466888,0.9943360604153556,0.9966405375139977,0.9913793103448276,0.9991730058822773,0.9994671328277482,0.9842668344870988,0.9768769709043877,0.9893207979133029,1589,0.9966405375139977,0.9901695220913033,0.9988568567029005,893,0.9683908045977011,0.9526046795436603,0.9790347085693069,696
simclr_resnet18_phash_e25_finetune_50pct_e5,balanced_accuracy,0.5,0.14494416117668152,0.9622404027690371,0.9328107502799552,1.0,0.9981271962003321,0.9988899198621214,0.9823788546255506,0.974650160724185,0.9877807551936314,1589,0.9932810750279956,0.985419067079698,0.9969171671003402,893,0.9683908045977011,0.9526046795436603,0.9790347085693069,696
